Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
dcNLQII]Blzlf]{HhhmDXppPQL@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@mpJH@`,,EN300-395906,Enamine,390.89,"2,6-diiodo-4-nitrophenol",0.5,19,USD,10,[O-][N+](c(cc1I)cc(I)c1O)=O
dcND`MK`kDfYy]a``bl@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@Jw_P,,EN300-227937,Enamine,275.04,4-hydroxy-3-iodo-5-methoxybenzonitrile,0.1,66,USD,0.834,COc1cc(C#N)cc(I)c1O
dcMD`EtiBlRYg^vzB@f`@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@K~@@,,EN300-25391170,Enamine,278.05,4-hydroxy-3-iodobenzohydrazide,0.1,176,USD,6.04,NNC(c(cc1)cc(I)c1O)=O
dcLL`B{PkDfYy]a``bd@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@Jw@`,,EN300-17567,Enamine,278.04,4-hydroxy-3-iodo-5-methoxybenzaldehyde,1,19,USD,10,COc1cc(C=O)cc(I)c1O
dcLL`BzPkDfYy]a``bh@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@JH@`,,EN300-20927974,Enamine,280.06,"2-iodo-4,6-dimethoxyphenol",0.1,783,USD,0.208,COc(cc1OC)cc(I)c1O
dcLL`B{PkDfYy]a``bh@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@Jw@`,,EN300-65776,Enamine,280.06,4-(hydroxymethyl)-2-iodo-6-methoxyphenol,0.1,83,USD,9.978,COc1cc(CO)cc(I)c1O
dcLL`BePkDfYwmn``Ih@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@K~@@,,EN300-125735,Enamine,278.04,methyl 4-hydroxy-3-iodobenzoate,0.5,19,USD,10,COC(c(cc1)cc(I)c1O)=O
dcLL`BePkDfY}mn``Ih@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@K~@@,,EN300-157238,Enamine,278.04,methyl 3-hydroxy-4-iodobenzoate,1,19,USD,10,COC(c(cc1)cc(O)c1I)=O
dcLL`BWPkDfYyYa``bX@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@K~_p,,EN300-1722167,Enamine,278.04,2-hydroxy-3-iodo-5-methylbenzoic acid,0.1,83,USD,10,Cc(cc1C(O)=O)cc(I)c1O
dcLLPBWPkNkLbbbtQcCAADp@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@Jw@`,,EN300-7396568,Enamine,389.91,"4-hydroxy-3,5-diiodobenzoic acid",1,19,USD,10,OC(c(cc1I)cc(I)c1O)=O
dcLH`BBlRYg^fzB@j`@@ !BmpJw__x@?g~w@k\B?`C~@Ox@@Oy??`,,EN300-268602,Enamine,276.11,4-tert-butyl-2-iodophenol,0.25,19,USD,10,CC(C)(C)c(cc1)cc(I)c1O
dcLH`BBlRYgvfzB@j`@@ !B?`BH@k\BbGw~@Ox@mpK~@Ox@@Oy??`,,EN300-132528,Enamine,276.11,5-tert-butyl-2-iodophenol,0.1,20,USD,10,CC(C)(C)c(cc1)cc(O)c1I
dcLHPBBlflRYggfzB@j`@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@Jw@`,,EN300-46816675,Enamine,387.98,"2,4-diiodo-6-(propan-2-yl)phenol",0.1,241,USD,10,CC(C)c1cc(I)cc(I)c1O
dcLHHBBlfPVPvPRYgvfzB@j`@@ !Bmwvw@oy??`Bw_[]}?g~w_[]}@k_}b@,,EN300-1611719,Enamine,288,2-iodo-5-(trifluoromethyl)phenol,0.1,120,USD,0,Oc(cc(C(F)(F)F)cc1)c1I
dcLHHBBlfPVPvPrJJKPrMtDAU@@@ !BbGvH@oy??`BH_Xa}?g~H@h`B?X`Bmp,,EN300-193737,Enamine,288,2-iodo-6-(trifluoromethyl)phenol,0.1,154,USD,9.207,Oc(c(C(F)(F)F)ccc1)c1I
daDH`BBlRYg[hH@@@ !Bmwvw@oy??`Bw_[]}?g|,,EN300-39648,Enamine,220.01,2-iodophenol,0.25,19,USD,10,Oc(cccc1)c1I
